GEAR BASE INVENTORY REPORT
Generated: December 10, 2025
Total Items: 75
Available: 75
Checked Out: 0

Total Inventory Value: $6,100

Name,Category,QR Code,Status,Condition,Value,Weight (lbs),Storage Case,Purchase Date,Notes
16x Ear Pads,Audio,GT-1764697017812-125,Available,Good,,,,2025-12-02,
8x Headsets,Audio,GT-1764697017812-121,Available,Good,,,,2025-12-02,
LAV MIC,Audio,GT-1764626579684-108,Available,Good,,,,2025-12-01,
Mackie MC-100 Closed Back,Audio,GT-1764697017812-46,Available,Good,,,,2025-12-02,
RØDE NTG3B Moisture Resistant Shotgun Mic & Auray Windshield Kit,Audio,GT-1764697017812-45,Available,Good,,,,2025-12-02,
Sennheiser MKE 600,Audio,GT-1764697017812-5,Available,Good,,,,2025-12-02,
16x Batteries,Batteries & Power,GT-1764697017812-124,Available,Good,,,,2025-12-02,
5 x FX3 Batteries,Batteries & Power,GT-1764697017812-38,Available,Good,,,,2025-12-02,
Battery,Batteries & Power,GT-1764697017812-30,Available,Good,,,,2025-12-02,
Battery Charger,Batteries & Power,GT-1764697017812-31,Available,Good,,,,2025-12-02,
Battery Charger,Batteries & Power,GT-1764697017812-122,Available,Good,,,,2025-12-02,
FX6 Battery,Batteries & Power,GT-1764697017812-1,Available,Good,,,,2025-12-02,
XTAR Rechargeable AA Batteries witth Charger,Batteries & Power,GT-1764697017812-129,Available,Good,,,,2025-12-02,
1x USB A to USB C,Cables,GT-1764697017812-123,Available,Good,,,,2025-12-02,
Kondor Blue Coiled D-Tap to BLJ31 Type Dummy Battery Case,Cables,GT-1764697017812-41,Available,Good,,,,2025-12-02,
Kopul 3000 Series Neuttrix XLR Male to XLR Female Mic Cable,Cables,GT-1764697017812-47,Available,Good,,,,2025-12-02,
Power Cord,Cables,GT-1764697017812-2,Available,Good,,,,2025-12-02,
USBA to USBC cable,Cables,GT-1764697017812-32,Available,Good,,,,2025-12-02,
FX9,Cameras,GT-1764699353123,Available,Good,,,,,
iPHONE,Cameras,GT-1764626579684-103,Available,Good,,,,2025-12-01,
iPhone 15 Pro Max,Cameras,GT-1764697017812-114,Available,Good,,,,2025-12-02,
